customer_id,age,tenure,spend_rate,plan_type,churn,ticket_notes
C001,27,2,80,monthly,0,"Customer had a minor billing issue that was resolved quickly."
C002,33,5,90,monthly,0,"Customer asked a few questions about product features, no major complaints."
C003,22,1,75,monthly,1,"Customer complained about delayed support responses and unclear refund policy."
C004,29,3,100,monthly,0,"Customer requested additional information on upgrades, generally neutral."
C005,35,6,110,monthly,1,"Customer expressed frustration with the mobile app crashing frequently."
C006,25,4,95,monthly,0,"Customer mentioned a slightly slow website but seemed understanding."
C007,41,8,120,monthly,1,"Customer repeatedly complained about billing errors and poor product quality."
C008,30,7,85,monthly,0,"Customer asked about discounts, no major dissatisfaction."
C009,28,2,60,monthly,1,"Customer is unhappy with recent price hikes and limited support hours."
C010,34,10,130,monthly,0,"Customer had minor issues but praised quick email response."
C011,26,3,70,monthly,1,"Customer indicated disappointment with recurring technical glitches."
C012,40,9,115,monthly,0,"Customer seemed neutral, just routine queries on billing cycles."
C013,24,2,65,monthly,0,"Customer asked simple questions about service terms, no complaints."
C014,32,6,100,monthly,1,"Customer frustrated about delivery delays and no resolution from support."
C015,29,5,90,monthly,0,"Customer inquired about gift vouchers, no negative feedback."
C016,35,11,140,monthly,0,"Customer reported a small issue once, resolved efficiently."
C017,27,4,80,monthly,1,"Customer complained about website downtime affecting their usage."
C018,31,8,125,monthly,0,"Customer requested info on add-ons, generally satisfied."
C019,23,1,50,monthly,1,"Customer angry about the difficulty in canceling subscription."
C020,36,10,135,monthly,0,"Customer had a minor complaint about slow loading but was okay afterward."
C021,28,2,60,monthly,1,"Customer unhappy with repeated billing errors and unhelpful support."
C022,34,7,110,monthly,0,"Customer asked about seasonal discounts, seemed content."
C023,30,5,95,monthly,0,"Customer reported a small glitch in the app, but praised quick fix."
C024,42,12,150,monthly,1,"Customer wrote a negative review citing poor customer service."
C025,25,4,85,monthly,0,"Customer curious about payment plans, neutral feedback."
C026,33,8,120,monthly,1,"Customer threatened to leave due to constant login issues and no resolution."
C027,29,6,100,monthly,0,"Customer had minor questions about return policies, no negativity."
C028,26,3,75,monthly,1,"Customer frustrated by slow responses to their queries."
C029,37,9,130,monthly,0,"Customer inquired about loyalty points, seemed generally satisfied."
C030,31,2,90,monthly,0,"Customer mentioned slight dissatisfaction, but no major complaints."
C031,45,20,300,annual,0,"Customer praised reliable service, no major issues."
C032,39,15,250,annual,0,"Customer seems satisfied, asked about upgrading to a premium tier."
C033,50,24,400,annual,0,"Customer regularly praises product quality and responsive support."
C034,44,18,280,annual,0,"Customer happy with long-term subscription, no negative feedback."
C035,53,30,350,annual,0,"Customer delighted with service, recommended it to friends."
C036,47,22,420,annual,1,"Customer complained about recent policy changes, considered canceling."
C037,36,14,220,annual,0,"Customer expressed satisfaction, minimal follow-up needed."
C038,55,26,450,annual,0,"Customer praised quick shipping and smooth transaction process."
C039,41,16,300,annual,0,"Customer requested info on gift subscriptions, no complaints."
C040,58,36,500,annual,0,"Customer extremely satisfied, loyal for years."
C041,33,2,85,monthly,1,"Customer complained about unclear pricing and lack of support."
C042,29,6,100,monthly,0,"Customer had a minor issue with coupon codes, otherwise fine."
C043,35,12,150,monthly,0,"Customer generally satisfied, asked about referral bonuses."
C044,23,1,70,monthly,1,"Customer furious about hidden fees and no prompt resolution."
C045,30,4,95,monthly,0,"Customer curious about new features, neutral sentiment."
C046,26,3,80,monthly,1,"Customer disappointed with repeated app crashes and slow fixes."
C047,28,5,90,monthly,0,"Customer had a minor problem but reported good support follow-up."
C048,40,10,140,monthly,1,"Customer complained about inconsistent product quality and slow refunds."
C049,25,2,65,monthly,1,"Customer upset about long hold times on support calls."
C050,34,7,105,monthly,0,"Customer asked about loyalty programs, no major complaints."
C051,45,18,320,annual,0,"Customer happy with dedicated support line and benefits."
C052,38,24,270,annual,0,"Customer praised consistent service and quality products."
C053,54,28,450,annual,0,"Customer satisfied, mentioned good value for money."
C054,42,16,310,annual,0,"Customer content with annual plan, appreciated discounts."
C055,51,20,400,annual,0,"Customer delighted, recommended service to colleagues."
C056,46,14,220,annual,1,"Customer noted recent issues with delayed responses, considering leaving."
C057,35,12,280,annual,0,"Customer fine with service, minor queries addressed quickly."
C058,49,25,420,annual,0,"Customer complimented product reliability and prompt solutions."
C059,39,15,290,annual,0,"Customer inquired about gift options, seemed satisfied."
C060,52,22,350,annual,0,"Customer loyal for years, no negative notes."
C061,27,2,80,monthly,0,"Customer neutral, asked about adding a second user."
C062,31,5,95,monthly,1,"Customer complained about frequent downtime and lost access."
C063,29,3,90,monthly,0,"Customer had billing query resolved promptly."
C064,23,1,70,monthly,1,"Customer unhappy with poor product quality and no refund."
C065,33,4,85,monthly,0,"Customer requested basic info, neutral sentiment."
C066,36,8,120,monthly,1,"Customer complained about slow customer service and unanswered emails."
C067,28,6,110,monthly,0,"Customer mentioned slight confusion about features, got clarifications."
C068,32,9,130,monthly,1,"Customer frustrated by recurring technical errors."
C069,24,2,60,monthly,1,"Customer angry about hidden fees and no support response."
C070,30,5,100,monthly,0,"Customer made a small complaint but seemed okay after support."
C071,44,17,260,annual,0,"Customer expressed satisfaction, appreciated proactive communication."
C072,50,26,400,annual,0,"Customer praised exceptional service and no issues."
C073,39,14,220,annual,0,"Customer content with value and reliability."
C074,57,30,500,annual,0,"Customer delighted, mentioned never having a problem."
C075,46,18,320,annual,0,"Customer satisfied with product range and support quality."
C076,53,24,380,annual,0,"Customer praised smooth experience, no complaints."
C077,48,20,340,annual,0,"Customer fine with service, minor inquiries answered well."
C078,35,12,250,annual,1,"Customer noted dissatisfaction with recent platform changes."
C079,41,16,300,annual,0,"Customer happy overall, praised loyalty rewards."
C080,58,32,450,annual,0,"Customer appreciative of responsive customer care."
C081,26,3,85,monthly,1,"Customer complained about inconsistent billing and poor communication."
C082,29,7,105,monthly,0,"Customer mentioned minor glitch but resolved swiftly."
C083,34,4,90,monthly,1,"Customer upset about unanswered refund requests."
C084,31,8,115,monthly,0,"Customer neutral, asked about add-on services."
C085,25,2,75,monthly,1,"Customer angry about price increases without notice."
C086,37,10,140,monthly,0,"Customer had a small issue but got prompt support."
C087,28,6,95,monthly,0,"Customer inquired about promotions, no negativity."
C088,22,1,60,monthly,1,"Customer disappointed with complicated cancellation process."
C089,33,4,100,monthly,1,"Customer frustrated by frequent downtime and slow support responses."
C090,40,11,150,monthly,0,"Customer reported minor shipping delay but fine afterward."
C091,44,18,310,annual,0,"Customer praised stable platform and helpful staff."
C092,38,14,280,annual,0,"Customer pleased with consistent quality and timely assistance."
C093,51,22,360,annual,0,"Customer satisfied, mentioned easy renewals."
C094,47,19,320,annual,0,"Customer appreciated transparent policies and quick answers."
C095,56,28,480,annual,0,"Customer delighted, no negative experiences."
C096,42,15,270,annual,0,"Customer happy with annual discounts and perks."
C097,54,25,420,annual,0,"Customer highlighted good value and support."
C098,49,21,350,annual,1,"Customer complained recently about slow refunds."
C099,36,13,240,annual,0,"Customer satisfied, just regular inquiries."
C100,58,30,500,annual,0,"Customer loyal for many years, always positive feedback."
